session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train2,picture_file
train2,list1,33,Ball_neu,Ball,neu,2,LFP,SP,ncblock,tool,Ball_neu,ball_neu.png
train2,list1,34,Bild_alt,Bild,alt,5,HFP,SN,ncblock,furniture,Bild_klein,bild_klein.png
train2,list1,35,Blume_neu,Blume,neu,7,LFP,SP,ncblock,nature,Blume_neu,blume_neu.png
train2,list1,36,Bombe_alt,Bombe,alt,8,LFP,SP,ncblock,etc,Bombe_alt,bombe_alt.png
train2,list1,37,Brille_neu,Brille,neu,10,HFP,SP,ncblock,etc,Brille_neu,brille_neu.png
train2,list1,38,Brot_alt,Brot,alt,11,HFP,SN,ncblock,food,Brot_klein,brot_klein.png
train2,list1,39,Buch_neu,Buch,neu,12,HFP,SP,ncblock,etc,Buch_neu,buch_neu.png
train2,list1,40,Burg_rot,Burg,rot,13,LFP,SN,ncblock,building,Burg_gross,burg_gross.png
train2,list1,41,Dach_rot,Dach,rot,15,HFP,SN,ncblock,building,Dach_neu,dach_neu.png
train2,list1,42,Erde_gross,Erde,gross,17,LFP,SP,ncblock,nature,Erde_gross,erde_gross.png
train2,list1,43,Fahrrad_alt,Fahrrad,alt,19,HFP,SP,ncblock,transportation,Fahrrad_alt,fahrrad_alt.png
train2,list1,44,Feder_weiss,Feder,weiss,20,HFP,SN,ncblock,etc,Feder_neu,feder_neu.png
train2,list1,45,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SN,ncblock,transportation,Flugzeug_alt,flugzeug_alt.png
train2,list1,46,Frau_schwarz,Frau,schwarz,23,HFP,SN,ncblock,human,Frau_gross,frau_gross.png
train2,list1,47,Geschenk_klein,Geschenk,klein,24,HFP,SP,ncblock,etc,Geschenk_klein,geschenk_klein.png
train2,list1,48,Glas_neu,Glas,neu,25,HFP,SN,ncblock,tool,Glas_alt,glas_alt.png
train2,list1,49,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train2,list1,50,Hose_schwarz,Hose,schwarz,29,HFP,SN,ncblock,clothing,Hose_neu,hose_neu.png
train2,list1,51,Kamera_gross,Kamera,gross,32,LFP,SP,ncblock,tool,Kamera_gross,kamera_gross.png
train2,list1,52,Kerze_klein,Kerze,klein,33,HFP,SP,ncblock,etc,Kerze_klein,kerze_klein.png
train2,list1,53,Kirche_alt,Kirche,alt,34,HFP,SP,ncblock,building,Kirche_alt,kirche_alt.png
train2,list1,54,Krone_klein,Krone,klein,36,LFP,SP,ncblock,etc,Krone_klein,krone_klein.png
train2,list1,55,Lampe_gross,Lampe,gross,37,LFP,SN,ncblock,furniture,Lampe_neu,lampe_neu.png
train2,list1,56,Mantel_schwarz,Mantel,schwarz,39,HFP,SN,ncblock,clothing,Mantel_gross,mantel_gross.png
train2,list1,57,Paket_gross,Paket,gross,42,HFP,SN,ncblock,etc,Paket_klein,paket_klein.png
train2,list1,58,Palast_gross,Palast,gross,43,HFP,SP,ncblock,building,Palast_gross,palast_gross.png
train2,list1,59,Rad_alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad_alt,rad_alt.png
train2,list1,60,Rose_neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose_neu,rose_neu.png
train2,list1,61,Schale_alt,Schale,alt,49,LFP,SN,ncblock,tool,Schale_gross,schale_gross.png
train2,list1,62,Tasse_neu,Tasse,neu,52,LFP,SN,ncblock,tool,Tasse_alt,tasse_alt.png
train2,list1,63,Topf_schwarz,Topf,schwarz,56,LFP,SN,ncblock,tool,Topf_klein,topf_klein.png
train2,list1,64,Uhr_klein,Uhr,klein,59,LFP,SN,ncblock,tool,Uhr_neu,uhr_neu.png
train2,list1,65,Zelt_klein,Zelt,klein,63,HFP,SP,ncblock,building,Zelt_klein,zelt_klein.png
train2,list1,66,Zug_gross,Zug,gross,64,HFP,SP,ncblock,transportation,Zug_gross,zug_gross.png
